date,count,type,t_max,t_min,precipitation,wind_speed
2025-01-27,64,small,6.4,-3.5,0.0,12.8
2025-01-28,202,big,6.8,0.1,0.0,23.2
2025-01-29,65,small,11.3,2.8,0.0,29.9
2025-01-30,201,big,9.4,-2.0,0.0,21.2
2025-02-03,64,small,10.5,-0.3,0.0,16.7
2025-02-04,188,big,13.1,1.9,0.0,24.3
2025-02-05,60,small,4.0,-0.8,2.9,12.2
2025-02-06,-1,shitpic,10.6,-0.2,14.6,22.3
2025-02-06,135,big,10.6,-0.2,14.6,22.3
2025-02-13,132,big,10.5,1.2,10.8,26.8
2025-02-17,69,small,2.5,-2.7,0.0,29.0
2025-02-18,142,big,-1.4,-6.2,0.0,19.3
2025-02-20,98,big,-3.6,-8.0,0.5,25.3
2025-02-24,60,small,11.0,-1.5,0.0,11.9
2025-02-25,122,big,14.3,2.3,0.0,11.2
2025-02-26,47,small,16.2,4.0,0.0,13.8
2025-02-27,107,big,16.3,7.3,0.5,20.7
2025-03-05,38,small,15.0,11.5,45.2,36.0
2025-03-06,107,big,11.1,3.1,0.8,32.3
2025-03-11,113,big,19.2,3.5,0.0,13.0
2025-03-24,44,small,16.6,7.0,3.9,15.5
2025-03-25,116,big,16.5,7.1,0.1,17.8
2025-03-27,94,big,13.7,-0.2,0.0,14.8
2025-03-31,43,small,28.3,16.8,15.9,21.5
2025-04-03,95,big,26.5,11.2,0.1,27.5
2025-04-08,129,big,7.7,1.2,0.1,28.2
2025-04-09,41,small,10.0,-1.4,0.0,12.3
2025-04-10,100,big,14.2,4.9,1.9,17.4
2025-04-14,39,small,22.1,7.6,2.4,11.7
2025-04-21,32,small,23.1,12.2,0.2,19.8
2025-04-22,113,big,25.1,16.6,0.0,14.9
2025-04-23,32,small,23.7,11.3,0.0,12.8
2025-04-24,84,big,25.5,11.4,0.0,12.6
